,Unnamed: 0,formatted_address,input_string,latitude,longitude,number_of_results,postcode,status
75,86,"6207 Dorchester Dr, Austin, TX 78723, USA",6207 Dorchester Dr in Austin (TX),30.313676399999995,-97.68548359999998,1,78723,OK
76,87,"5801 Signal Point, Austin, TX 78724, USA",5801 Signal Point Blvd in Austin (TX),30.2892848,-97.644565,1,78724,OK
77,88,"Point N Dr, South Carolina 29676, USA",Point N Dr & Arctic Ct in Austin (TX),34.8440466,-82.90533470000001,3,29676,OK
78,90,"1156 W Cesar Chavez St, Austin, TX 78703, USA",1156 W Cesar Chavez St in Austin (TX),30.269764000000002,-97.75911440000002,1,78703,OK
79,91,"E 12th St & Springdale Rd, Austin, TX 78721, USA",E 12Th St And Springdale Rd in Austin (TX),30.2789614,-97.68704090000001,1,78721,OK
80,92,"1006 Banister Ln, Austin, TX 78704, USA",1006 Banister Ln in Austin (TX),30.229891600000002,-97.774716,1,78704,OK
81,93,"Leander, TX 78641, USA",Leander (TX),30.578805499999998,-97.8530686,1,78641,OK
82,95,"13104 Johnson Rd, Manor, TX 78653, USA",13104 Johnson Rd in Manor (TX),30.379955,-97.4991749,1,78653,OK
83,96,"Travis, TX 76570, USA",Travis (TX),31.1354588,-97.0027678,1,76570,OK
84,97,"2500 Chaparral Trail, Austin, TX 78744, USA",2500 Chaparral Trail in Austin (TX),30.196262400000002,-97.7486941,1,78744,OK
85,98,"1515 Wickersham Ln, Austin, TX 78741, USA",1515 Wickersham Ln in Austin (TX),30.234992100000003,-97.7182435,1,78741,OK
86,99,"1881 Grove Blvd, Austin, TX 78741, USA",1881 Grove Blvd in Austin (TX),30.2286113,-97.7065828,1,78741,OK
87,100,"9909 N Lamar Blvd, Austin, TX 78753, USA",9909 North Lamar in Austin (TX),30.3692184,-97.6929259,1,78753,OK
88,101,"1608 Garden St, Austin, TX 78702, USA",1608 Garden St in Austin (TX),30.255710999999998,-97.7290461,1,78702,OK
89,102,"5812 Malarkey Rd, Del Valle, TX 78617, USA",5812 Malarkey Rd in Del Valle (TX),30.169447100000003,-97.6205083,1,78617,OK
90,104,"11425 Ptarmigan Dr, Austin, TX 78758, USA",11425 Ptarmigan Dr in Austin (TX),30.392685800000002,-97.70363490000001,1,78758,OK
91,106,"1002 Lott Ave, Austin, TX 78721, USA",1002 Lott in Austin (TX),30.2677781,-97.6838723,1,78721,OK
92,107,"8105 Linden Rd, Del Valle, TX 78617, USA",8105 Linden in Travis (TX),30.1383321,-97.58336440000001,1,78617,OK
93,108,"Travis, TX 76570, USA",Travis (TX),31.1354588,-97.0027678,1,76570,OK
94,110,"Cumberland Rd & S Congress Ave, Austin, TX 78704, USA",Cumberland Rd And Congress Ave in Austin (TX),30.235513399999995,-97.75638020000001,1,78704,OK
95,111,"9100 FM812, Austin, TX 78719, USA",9100 Fm 812 Road in Travis (TX),30.162059499999998,-97.687031,1,78719,OK
96,112,"5106 Village Square Dr, Austin, TX 78744, USA",5106 Village Square in Austin (TX),30.188675500000002,-97.74305550000001,1,78744,OK
97,113,"Travis, TX 76570, USA",Travis (TX),31.1354588,-97.0027678,1,76570,OK
98,114,"12225 US-290, Austin, TX 78737, USA",12225 U.S. 290 in Travis (TX),30.208604700000002,-97.9725134,1,78737,OK
99,115,"1807 N Woodbine Rd, St Joseph, MO 64506, USA",Fairway St & Club Way Dr in Austin (TX),39.784024,-94.7963089,1,64506,OK
100,116,"Travis, TX 76570, USA",Travis (TX),31.1354588,-97.0027678,1,76570,OK
