,formatted_address,input_string,latitude,longitude,number_of_results,postcode,status
134,"4612 Sherwyn Dr, Austin, TX 78725, USA",4612 Sherwyn Dr in Austin (TX),30.2814531,-97.660724,1,78725,OK
135,"3200 Crownover St, Austin, TX 78725, USA",3200 Crownover Street in Austin (TX),30.2297342,-97.5887844,1,78725,OK
136,"W 9th St & Blanco St, Austin, TX 78703, USA",Blanco Street And 9Th Street in Austin (TX),30.2749441,-97.75569929999999,1,78703,OK
137,"4000 Airport Blvd, Austin, TX 78722, USA",4000 Airport in Austin (TX),30.291544,-97.707656,1,78722,OK
138,"Virgo Ln, Austin, TX 78724, USA",Virgo Ln And in Austin (TX),30.2964833,-97.6459895,1,78724,OK
139,"5902 N Hampton Dr, Austin, TX 78723, USA",5902 North Hampton Drive in Austin (TX),30.311251,-97.68561079999999,1,78723,OK
140,"13901 FM 969, Austin, TX 78725, USA",13901 Fm 969 in Travis (TX),30.2477922,-97.58761989999999,1,78725,OK
141,"5707 Magee Bend, Austin, TX 78749, USA",5707 Magee Bend in Austin (TX),30.2112792,-97.86954539999999,1,78749,OK
142,"Sebastian Bend & Harris Ridge Blvd, Parkside, TX 78660, USA",Harris Redge Blvd And Sebastian Bend in Pflugerville (TX),30.4200503,-97.6446471,1,78660,OK
143,"Travis, TX 76570, USA",Travis (TX),31.1354588,-97.0027678,1,76570,OK
144,"1501 FM973, Austin, TX 78725, USA",1501 Fm973 in Austin (TX),30.2220302,-97.6335725,1,78725,OK
145,"14507 Gold Fish Pond Ave, Austin, TX 78728, USA",14507 Gold Fish Pond Ave. in Austin (TX),30.4425076,-97.68232460000002,1,78728,OK
146,"14907 Lucerne Dr, Del Valle, TX 78617, USA",14907 Lucerne Dr in Travis (TX),30.127519,-97.613872,1,78617,OK
147,"11906 Bronco Cir, Buda, TX 78610, USA",11906 Bronco Circle in Austin (TX),30.06294,-97.704257,1,78610,OK
148,"5708 Elk Crossing, Austin, TX 78724, USA",5708 Elk Crossing in Austin (TX),30.2820342,-97.62855809999999,1,78724,OK
149,"5315 Ed Bluestein Blvd, Austin, TX 78723, USA",5315 Ed Bluestein Blvd in Austin (TX),30.29183299999999,-97.66242729999999,1,78723,OK
150,"10900 Research Blvd, Austin, TX 78759, USA",Braker Ln And Hwy 183 in Austin (TX),30.401952,-97.746882,1,78759,OK
151,"4902 Teri Rd, Austin, TX 78744, USA",4902 Teri Rd in Austin (TX),30.1954948,-97.7396969,1,78744,OK
152,"3006 Royster Ave, Del Valle, TX 78617, USA",3006 Royster in Austin (TX),30.206408,-97.6394797,1,78617,OK
153,"1120 Brookswood Ave, Austin, TX 78721, USA",1120 Brookswood Ave in Austin (TX),30.2652495,-97.6895545,1,78721,OK
154,"615 Thrasher Ln, Austin, TX 78741, USA",615 Thrasher in Austin (TX),30.2368206,-97.6938377,1,78741,OK
155,"Shoal Creek Blvd & W Anderson Ln, Austin, TX 78757, USA",West Anderson Lane And Shoal Creek Blvd in Austin (TX),30.3609725,-97.74088309999999,1,78757,OK
156,"3100 Collins Creek Dr, Austin, TX 78741, USA",3100 Collins Creek Dr in Austin (TX),30.2225423,-97.7325785,1,78741,OK
157,"1105 E Cesar Chavez St, Austin, TX 78702, USA",1105 E Cesar Chavez St in Austin (TX),30.2599057,-97.7334802,1,78702,OK
158,"8028 Elroy Rd, Del Valle, TX 78617, USA",8028 Elroy Rd in Travis (TX),30.141273,-97.61830499999999,1,78617,OK
159,"13005 Heinemann Dr, Austin, TX 78727, USA",13005 Heinemann Dr in Austin (TX),30.44091139999999,-97.74412749999999,1,78727,OK
160,,Outside Jurisdiction,,,0,,ZERO_RESULTS
161,"7007 Mt Carrell Dr, Austin, TX 78745, USA",7007 Mount Carrell Dr in Austin (TX),30.196428,-97.7965002,1,78745,OK
162,"10203 Doc Holliday Trail, Austin, TX 78753, USA",10203 Doc Holiday Trl in Austin (TX),30.36760529999999,-97.685738,1,78753,OK
163,"2300 Devonshire Dr, Austin, TX 78723, USA",2300 Devonshire Dr in Austin (TX),30.3126094,-97.68382989999999,1,78723,OK
164,"101 Jones Rd, Manor, TX 78653, USA",101 Jones Road in Manor (TX),30.3009475,-97.49183409999999,1,78653,OK
165,"N Lamar Blvd & W Rundberg Ln, Austin, TX 78753, USA",West Rundberg Lane And North Lamar Boulevard in Austin (TX),30.363062,-97.6970274,1,78753,OK
166,"501 E 8th St, Austin, TX 78701, USA",501 E 8Th in Austin (TX),30.2682422,-97.737172,1,78701,OK
167,"5801 Interregional Hwy, Austin, TX 78723, USA",5801 Interregional Hwy in Austin (TX),30.3186453,-97.70669079999999,1,78723,OK
168,"Roseborough Dr & Running Water Dr, Austin, TX 78747, USA",Roseborough Dr And Running Water in Austin (TX),30.159958,-97.7408942,1,78747,OK
169,"11039 Maha Loop Rd, Austin, TX 78719, USA",11039 Maha Loop in Travis (TX),30.0953522,-97.68398409999999,1,78719,OK
170,"Little Pebble Dr, Austin, TX 78758, USA",Little Pebble Dr And Metric in Austin (TX),30.38198989999999,-97.7110987,1,78758,OK
171,"Bluff Springs Rd & E William Cannon Dr, Austin, TX 78744, USA",Bluff Springs And East William Cannon in Austin (TX),30.1892393,-97.76785199999999,1,78744,OK
172,"6403 Johnny Morris Rd, Austin, TX 78724, USA",6403 Johnny Morris Rd in Austin (TX),30.29694,-97.648866,1,78724,OK
173,"6620 Deatonhill Dr, Austin, TX 78745, USA",6620 Deatonhill Dr in Austin (TX),30.2109111,-97.815184,1,78745,OK
174,"2753 Citation Dr, Del Valle, TX 78617, USA",2753 Citation Drive in Del Valle (TX),30.211774,-97.52652499999999,1,78617,OK
175,"3227 E 5th St, Austin, TX 78702, USA",3227 E 5Th St in Austin (TX),30.2544778,-97.7062859,1,78702,OK
176,"7322 Dixie Dr, Austin, TX 78744, USA",7322 Dixie in Austin (TX),30.166866,-97.7446617,1,78744,OK
177,"8645 Research Blvd, Austin, TX 78758, USA",Ohlen And 183 in Austin (TX),30.3637146,-97.7169863,1,78758,OK
178,"9807 Middle Fiskville Rd, Austin, TX 78753, USA",9807 Middle Fiskville Rd in Austin (TX),30.360991,-97.68301,1,78753,OK
179,"Peaceful Hill Ln, Austin, TX 78748, USA",Peaceful Hill Ln in Austin (TX),30.1793105,-97.7894007,1,78748,OK
180,"189 Jacobson Rd, Del Valle, TX 78617, USA",189 Jacobson Rd in Del Valle (TX),30.1152057,-97.5906151,1,78617,OK
181,"W 45th St & Guadalupe St, Austin, TX 78705, USA",45Th St And Guadalupe St in Austin (TX),30.3108416,-97.7329807,1,78705,OK
182,"2808 Palomino Trail, Austin, TX 78744, USA",2808 Palomino Trl in Austin (TX),30.2104761,-97.69190809999999,1,78744,OK
183,"1354 Old Lockhart Rd, Buda, TX 78610, USA",1354 Old Lockhart Hwy in Travis (TX),30.0705489,-97.71846380000001,1,78610,OK
184,"1005 Springdale Rd, Austin, TX 78721, USA",1005 Springdale in Austin (TX),30.2653422,-97.69445259999999,1,78721,OK
185,"4511 E Hwy 71, Del Valle, TX 78617, USA",4511 E Hwy 71 in Del Valle (TX),30.1886491,-97.6114118,1,78617,OK
186,"1909 Coats Cir, Austin, TX 78748, USA",1909 Coats Cir in Austin (TX),30.1591853,-97.83439500000001,1,78748,OK
187,"Wickersham Ln & Cromwell Cir, Austin, TX 78741, USA",Wickersham Ln And Cromwell Cir in Austin (TX),30.2305577,-97.72109840000002,1,78741,OK
188,"6301 Harold Ct, Austin, TX 78721, USA",6301 Harold Ct. in Austin (TX),30.26637899999999,-97.67351599999999,1,78721,OK
189,"1900 Onion Creek Pkwy, Austin, TX 78748, USA",1900 Onion Creek Parkway in Austin (TX),30.1386527,-97.80005969999999,1,78748,OK
190,"7201 Levander Loop, Austin, TX 78702, USA",7201 Levander Loop in Austin (TX),30.2527847,-97.6904186,1,78702,OK
191,"15002 Swiss Dr, Del Valle, TX 78617, USA",15002 Swiss Dr in Travis (TX),30.1316029,-97.61777540000001,1,78617,OK
192,"Springdale Rd & Airport Blvd, Austin, TX 78702, USA",Springdale Rd And Airport Blvd in Austin (TX),30.2655736,-97.6955164,1,78702,OK
193,"Johnny Morris Rd, Texas 78724, USA",Johnny Morris Rd & Breezy Hill Dr in Austin (TX),30.3082025,-97.64302819999999,2,78724,OK
194,"13401 Metric Blvd, Austin, TX 78727, USA",13401 Metric Blvd in Austin (TX),30.4229095,-97.6794455,1,78727,OK
195,"E Rundberg Ln & S IH 35 Frontage Rd, Austin, TX 78753, USA",Rundberg And Ih 35 in Austin (TX),30.3584936,-97.68856199999999,1,78753,OK
196,"15208 Chamberlain Ct, Austin, TX 78724, USA",15208 Chamberlain Ct in Austin (TX),30.2527384,-97.5770663,1,78724,OK
197,"Teri Rd & Copperbend Blvd, Austin, TX 78744, USA",Teri And Copperbend in Austin (TX),30.1955472,-97.7411229,1,78744,OK
198,"11105 2nd St, Jonestown, TX 78645, USA",11105 2Nd St in Jonestown (TX),30.497282,-97.92150099999999,1,78645,OK
199,"4708 Marblehead Dr, Austin, TX 78727, USA",4708 Marblehead in Austin (TX),30.4257771,-97.7258639,1,78727,OK
200,"1960 N Main St, Walnut Creek, CA 94596, USA",Walnut Ave & Graham St in Austin (TX),37.9060819,-122.0634591,1,94596,OK
201,"N Lamar Blvd & W Rundberg Ln, Austin, TX 78753, USA",N Lamar/Rundberg in Austin (TX),30.363062,-97.6970274,1,78753,OK
202,"11901 N Mopac Expy, Austin, TX 78759, USA",11901 North Mopac in Austin (TX),30.4068959,-97.7187151,1,78759,OK
203,"924 Shady Ln, Austin, TX 78702, USA",924 Shady Lane in Austin (TX),30.2590636,-97.6943871,1,78702,OK
204,"Parker Ln & E Riverside Dr, Austin, TX 78741, USA",Riverside And  Parker Ln in Austin (TX),30.2432146,-97.7292123,1,78741,OK
205,"Chestnut Ave & Rosewood Ave, Austin, TX 78702, USA",Rosewood Ave And Chestnut Ave in Austin (TX),30.2703254,-97.715138,1,78702,OK
206,"4900 Goldbridge Dr, Austin, TX 78745, USA",4900 Goldbridge Dr in Austin (TX),30.2014462,-97.8253972,1,78745,OK
207,"Mountain Quail Rd, Austin, TX 78758, USA",Mountain Quail Rd & Thornridge Rd in Austin (TX),30.3736283,-97.7078842,7,78758,OK
208,"5200 Knight Cir, Austin, TX 78723, USA",5200 Knight Cir in Austin (TX),30.3060295,-97.6990118,1,78723,OK
209,"2200 Caldwell Ln, Del Valle, TX 78617, USA",2200 Caldwell in Travis (TX),30.2153949,-97.5386328,1,78617,OK
210,"1601 E Slaughter Ln, Austin, TX 78747, USA",1601 E Slaughter Ln in Austin (TX),30.1487835,-97.7694089,1,78747,OK
211,"6808 Felipe Dr, Austin, TX 78747, USA",6808 Felipe Dr in Austin (TX),30.1546901,-97.7385087,1,78747,OK
212,"6900 Burleson Manor Rd, Manor, TX 78653, USA",6900 Block Of Burleson Manor Rd in Travis (TX),30.2532514,-97.53232949999999,1,78653,OK
213,"5301 E Stassney Ln, Austin, TX 78744, USA",5301 Stassney Ln in Austin (TX),30.192417,-97.7383177,1,78744,OK
214,"Piland Triangle, Thoroughbred Estates, TX 78617, USA",812 Hwy And Piland Triangle in Del Valle (TX),30.1291992,-97.64111899999999,1,78617,OK
215,"Manchaca Rd & Redwater Dr, Texas 78748, USA",Redwater Dr And Manchaca Rd in Austin (TX),30.1679972,-97.8262688,1,78748,OK
216,"E Stassney Ln & S Congress Ave, Austin, TX 78745, USA",Stassney And Congress Ave in Austin (TX),30.2048849,-97.7748428,1,78745,OK
217,"1920 E Riverside Dr, Austin, TX 78741, USA",1920 E Riverside Dr in Austin (TX),30.2426661,-97.72789879999999,1,78741,OK
218,"7101 Ed Bluestein Blvd, Austin, TX 78723, USA",7101 Ed Bluestein Blvd in Austin (TX),30.3125953,-97.6616095,1,78723,OK
219,"7201 Levander Loop, Austin, TX 78702, USA",7201 Levander Loop in Austin (TX),30.2527847,-97.6904186,1,78702,OK
220,"1016 W Stassney Ln, Austin, TX 78745, USA",1016 W Stassney Ln in Austin (TX),30.211456,-97.786492,1,78745,OK
221,"5725 Trelawney Ln, Austin, TX 78739, USA",5725 Trelawney in Austin (TX),30.1881963,-97.88387420000001,1,78739,OK
222,"Schmidt Ln & Anderson Rd, Texas 78653, USA",Schmidt Ln And Anderson Rd in Manor (TX),30.3996408,-97.5244934,1,78653,OK
